ID_Vta,Fecha_Hora,Precio_vta,articulos_vendidos_vta,ID_Art,ID_Estruct,ID_Puesto,Nombre_Puesto
156,2024-04-30 11:21:00,93,8,18,2,18,inspiracion_creativa
157,2024-04-30 9:42:00,62,20,1,1,1,artesanias_de_la_naturaleza
158,2024-04-30 10:47:00,81,14,22,3,22,hilos_y_tejidos
159,2024-04-30 11:08:00,72,16,37,4,37,encanto_y_belleza
160,2024-04-30 11:32:00,27,11,10,2,10,maravillas_del_arte
161,2024-04-30 9:45:00,129,48,14,2,14,encanto_hecho_a_mano
162,2024-04-30 9:59:00,46,9,36,4,36,artesanias_con_historia
163,2024-04-30 10:30:00,90,21,3,1,3,mundo_del_vidrio
164,2024-04-30 10:46:00,101,23,30,4,30,creaciones_del_mundo
165,2024-04-30 9:09:00,58,17,40,5,40,creaciones_del_mundo
166,2024-04-30 10:59:00,58,8,3,1,3,mundo_del_vidrio
167,2024-04-30 10:17:00,172,40,1,1,1,artesanias_de_la_naturaleza
168,2024-04-30 10:28:00,86,27,12,2,12,hecho_a_mano
169,2024-04-30 10:19:00,188,76,9,1,9,maravillas_textiles
170,2024-04-30 11:27:00,200,49,5,1,5,encanto_artesanal
171,2024-04-30 11:56:00,31,6,7,1,7,maravillas_artesanales
172,2024-04-30 10:25:00,105,24,23,3,23,fantasia_en_papel
173,2024-04-30 11:54:00,32,20,24,3,24,suenos_artesanales
174,2024-04-30 9:53:00,24,11,5,1,5,encanto_artesanal
175,2024-04-30 10:53:00,165,47,44,5,44,arte_y_tradicion
176,2024-04-30 10:06:00,106,19,21,3,21,tesoros_textiles
177,2024-04-30 10:29:00,166,27,2,1,2,tesoros_del_pasado
178,2024-04-30 9:49:00,70,8,10,2,10,maravillas_del_arte
179,2024-04-30 9:33:00,78,18,35,4,35,taller_de_artesanias
180,2024-04-30 11:06:00,243,42,18,2,18,inspiracion_creativa
181,2024-04-30 10:39:00,91,30,28,3,28,maravillas_del_arte
182,2024-04-30 10:55:00,94,28,39,5,39,rincon_de_la_inspiracion
183,2024-04-30 9:45:00,23,13,19,3,19,encanto_y_belleza
184,2024-04-30 11:29:00,45,19,44,5,44,arte_y_tradicion
185,2024-04-30 10:49:00,48,3,31,4,31,arte_en_ceramica
186,2024-04-30 11:25:00,11,1,24,3,24,suenos_artesanales
187,2024-04-30 9:56:00,189,51,12,2,12,hecho_a_mano
188,2024-04-30 9:35:00,85,8,44,5,44,arte_y_tradicion
189,2024-04-30 9:42:00,44,18,31,4,31,arte_en_ceramica
190,2024-04-30 11:03:00,114,22,30,4,30,creaciones_del_mundo
191,2024-04-30 9:51:00,53,2,12,2,12,hecho_a_mano
192,2024-04-30 10:51:00,150,32,31,4,31,arte_en_ceramica
193,2024-04-30 11:08:00,34,15,18,2,18,inspiracion_creativa
194,2024-04-30 11:40:00,37,11,25,3,25,creaciones_fantasticas
195,2024-04-30 9:08:00,102,20,15,2,15,belleza_hecha_a_mano
196,2024-04-30 10:06:00,55,21,41,5,41,creatividad_en_accion
197,2024-04-30 11:13:00,40,7,7,1,7,maravillas_artesanales
198,2024-04-30 10:28:00,58,26,17,2,17,manos_creativas
199,2024-04-30 10:04:00,74,14,40,5,40,creaciones_del_mundo
200,2024-04-30 9:48:00,60,6,18,2,18,inspiracion_creativa
201,2024-04-30 11:55:00,37,14,34,4,34,mundo_de_las_maravillas
202,2024-04-30 11:25:00,181,45,15,2,15,belleza_hecha_a_mano
203,2024-04-30 9:27:00,113,22,31,4,31,arte_en_ceramica
204,2024-04-30 9:51:00,189,22,23,3,23,fantasia_en_papel
205,2024-04-30 9:48:00,82,9,1,1,1,artesanias_de_la_naturaleza
206,2024-04-30 10:31:00,138,58,25,3,25,creaciones_fantasticas
207,2024-04-30 9:48:00,112,8,35,4,35,taller_de_artesanias
208,2024-04-30 9:27:00,98,24,10,2,10,maravillas_del_arte
209,2024-04-30 9:18:00,111,20,29,4,29,creatividad_en_expansion
210,2024-04-30 10:40:00,146,42,14,2,14,encanto_hecho_a_mano
211,2024-04-30 9:09:00,22,2,12,2,12,hecho_a_mano
212,2024-04-30 9:27:00,115,16,16,2,16,creaciones_con_amor
213,2024-04-30 9:41:00,63,18,29,4,29,creatividad_en_expansion
214,2024-04-30 10:26:00,65,15,41,5,41,creatividad_en_accion
215,2024-04-30 9:54:00,56,17,18,2,18,inspiracion_creativa
216,2024-04-30 9:46:00,51,8,26,3,26,mundo_de_la_creatividad
217,2024-04-30 10:21:00,250,55,15,2,15,belleza_hecha_a_mano
218,2024-04-30 9:52:00,117,47,8,1,8,arte_y_pasion
219,2024-04-30 9:54:00,131,29,27,3,27,creaciones_del_corazon
220,2024-04-30 9:23:00,65,8,43,5,43,creaciones_con_alma
221,2024-04-30 10:23:00,208,50,34,4,34,mundo_de_las_maravillas
222,2024-04-30 9:23:00,54,7,20,3,20,mundo_creativo
223,2024-04-30 11:33:00,128,20,34,4,34,mundo_de_las_maravillas
224,2024-04-30 10:58:00,106,18,13,2,13,tesoros_hechos_a_mano
225,2024-04-30 11:32:00,77,14,18,2,18,inspiracion_creativa
226,2024-04-30 11:19:00,47,6,31,4,31,arte_en_ceramica
227,2024-04-30 10:13:00,99,24,22,3,22,hilos_y_tejidos
228,2024-04-30 10:54:00,53,8,25,3,25,creaciones_fantasticas
229,2024-04-30 10:48:00,139,35,38,4,38,arte_en_detalles
230,2024-04-30 10:05:00,90,23,34,4,34,mundo_de_las_maravillas
231,2024-04-30 9:52:00,86,24,1,1,1,artesanias_de_la_naturaleza
232,2024-04-30 9:03:00,100,23,16,2,16,creaciones_con_amor
233,2024-04-30 9:04:00,193,50,30,4,30,creaciones_del_mundo
234,2024-04-30 11:09:00,75,13,12,2,12,hecho_a_mano
235,2024-04-30 11:05:00,24,14,29,4,29,creatividad_en_expansion
236,2024-04-30 11:33:00,96,23,42,5,42,rincones_del_arte
237,2024-04-30 9:24:00,135,43,44,5,44,arte_y_tradicion
238,2024-04-30 10:47:00,92,26,35,4,35,taller_de_artesanias
239,2024-04-30 11:47:00,139,48,21,3,21,tesoros_textiles
240,2024-04-30 9:03:00,35,19,23,3,23,fantasia_en_papel
241,2024-04-30 9:32:00,142,38,27,3,27,creaciones_del_corazon
242,2024-04-30 11:28:00,123,22,6,1,6,mundo_artesano
243,2024-04-30 10:20:00,23,10,39,5,39,rincon_de_la_inspiracion
244,2024-04-30 10:01:00,89,27,32,4,32,mundo_del_vidrio
245,2024-04-30 11:09:00,66,19,2,1,2,tesoros_del_pasado
246,2024-04-30 11:50:00,91,19,34,4,34,mundo_de_las_maravillas
247,2024-04-30 10:27:00,60,25,9,1,9,maravillas_textiles
248,2024-04-30 11:13:00,23,17,7,1,7,maravillas_artesanales
249,2024-04-30 10:06:00,31,14,15,2,15,belleza_hecha_a_mano
250,2024-04-30 10:23:00,57,17,29,4,29,creatividad_en_expansion
251,2024-04-30 10:29:00,118,10,20,3,20,mundo_creativo
252,2024-04-30 10:50:00,146,24,11,2,11,joyas_del_mundo
253,2024-04-30 10:29:00,226,65,30,4,30,creaciones_del_mundo
254,2024-04-30 11:35:00,94,18,16,2,16,creaciones_con_amor
255,2024-04-30 9:30:00,60,9,19,3,19,encanto_y_belleza
256,2024-04-30 11:46:00,135,24,43,5,43,creaciones_con_alma
257,2024-04-30 11:31:00,98,12,42,5,42,rincones_del_arte
258,2024-04-30 10:50:00,44,11,33,4,33,madera_y_arte
259,2024-04-30 11:53:00,76,25,15,2,15,belleza_hecha_a_mano
260,2024-04-30 9:58:00,35,3,34,4,34,mundo_de_las_maravillas
261,2024-04-30 9:50:00,103,18,26,3,26,mundo_de_la_creatividad
262,2024-04-30 9:17:00,126,29,9,1,9,maravillas_textiles
263,2024-04-30 10:14:00,52,11,7,1,7,maravillas_artesanales
264,2024-04-30 9:31:00,99,15,33,4,33,madera_y_arte
265,2024-04-30 10:29:00,42,14,32,4,32,mundo_del_vidrio
266,2024-04-30 9:44:00,68,17,12,2,12,hecho_a_mano
267,2024-04-30 10:19:00,184,34,11,2,11,joyas_del_mundo
268,2024-04-30 11:46:00,65,11,6,1,6,mundo_artesano
269,2024-04-30 10:07:00,64,21,8,1,8,arte_y_pasion
270,2024-04-30 10:12:00,22,10,44,5,44,arte_y_tradicion
271,2024-04-30 10:47:00,101,20,17,2,17,manos_creativas
272,2024-04-30 10:58:00,106,17,13,2,13,tesoros_hechos_a_mano
273,2024-04-30 11:04:00,52,2,11,2,11,joyas_del_mundo
274,2024-04-30 10:06:00,145,40,28,3,28,maravillas_del_arte
275,2024-04-30 10:37:00,147,26,45,5,45,tesoros_del_arte
276,2024-04-30 10:47:00,76,16,17,2,17,manos_creativas
277,2024-04-30 11:04:00,72,17,9,1,9,maravillas_textiles
278,2024-04-30 9:50:00,82,25,12,2,12,hecho_a_mano
279,2024-04-30 10:42:00,93,33,8,1,8,arte_y_pasion
280,2024-04-30 10:01:00,177,41,26,3,26,mundo_de_la_creatividad
281,2024-04-30 9:51:00,132,30,45,5,45,tesoros_del_arte
282,2024-04-30 11:32:00,109,37,24,3,24,suenos_artesanales
283,2024-04-30 9:22:00,49,15,12,2,12,hecho_a_mano
284,2024-04-30 9:27:00,194,36,8,1,8,arte_y_pasion
285,2024-04-30 10:30:00,34,20,27,3,27,creaciones_del_corazon
286,2024-04-30 10:57:00,37,4,1,1,1,artesanias_de_la_naturaleza
287,2024-04-30 10:59:00,131,14,8,1,8,arte_y_pasion
288,2024-04-30 11:00:00,83,11,2,1,2,tesoros_del_pasado
289,2024-04-30 9:02:00,76,19,43,5,43,creaciones_con_alma
290,2024-04-30 11:28:00,64,20,45,5,45,tesoros_del_arte
291,2024-04-30 11:05:00,67,22,10,2,10,maravillas_del_arte
292,2024-04-30 9:44:00,96,29,1,1,1,artesanias_de_la_naturaleza
293,2024-04-30 10:34:00,63,23,32,4,32,mundo_del_vidrio
294,2024-04-30 10:51:00,34,17,4,1,4,artesanias_del_mundo
295,2024-04-30 10:59:00,19,8,4,1,4,artesanias_del_mundo
296,2024-04-30 10:17:00,124,26,30,4,30,creaciones_del_mundo
297,2024-04-30 9:24:00,61,16,18,2,18,inspiracion_creativa
298,2024-04-30 10:37:00,95,26,7,1,7,maravillas_artesanales
299,2024-04-30 9:09:00,35,10,19,3,19,encanto_y_belleza
300,2024-04-30 10:15:00,176,37,20,3,20,mundo_creativo
301,2024-04-30 10:06:00,113,16,8,1,8,arte_y_pasion
302,2024-04-30 9:57:00,109,25,39,5,39,rincon_de_la_inspiracion
303,2024-04-30 11:04:00,94,34,1,1,1,artesanias_de_la_naturaleza
304,2024-04-30 10:57:00,26,16,43,5,43,creaciones_con_alma
305,2024-04-30 9:39:00,69,15,29,4,29,creatividad_en_expansion
306,2024-04-30 9:31:00,243,54,41,5,41,creatividad_en_accion
307,2024-04-30 9:27:00,67,7,42,5,42,rincones_del_arte
308,2024-04-30 11:38:00,97,26,15,2,15,belleza_hecha_a_mano
309,2024-04-30 10:18:00,97,24,12,2,12,hecho_a_mano
310,2024-04-30 9:59:00,90,15,29,4,29,creatividad_en_expansion
311,2024-04-30 9:21:00,23,9,10,2,10,maravillas_del_arte
312,2024-04-30 9:42:00,184,45,43,5,43,creaciones_con_alma
313,2024-04-30 11:36:00,85,19,29,4,29,creatividad_en_expansion
314,2024-04-30 11:42:00,61,11,4,1,4,artesanias_del_mundo
315,2024-04-30 10:53:00,158,32,37,4,37,encanto_y_belleza
316,2024-04-30 10:44:00,58,6,41,5,41,creatividad_en_accion
317,2024-04-30 11:32:00,170,53,43,5,43,creaciones_con_alma
318,2024-04-30 10:13:00,42,20,43,5,43,creaciones_con_alma
319,2024-04-30 10:05:00,31,4,31,4,31,arte_en_ceramica
320,2024-04-30 11:12:00,122,30,22,3,22,hilos_y_tejidos
321,2024-04-30 9:27:00,88,32,35,4,35,taller_de_artesanias
322,2024-04-30 11:43:00,52,12,11,2,11,joyas_del_mundo
323,2024-04-30 11:19:00,60,22,12,2,12,hecho_a_mano
324,2024-04-30 10:47:00,171,40,26,3,26,mundo_de_la_creatividad
325,2024-04-30 11:00:00,163,38,38,4,38,arte_en_detalles
326,2024-04-30 10:26:00,62,4,16,2,16,creaciones_con_amor
327,2024-04-30 10:04:00,82,7,16,2,16,creaciones_con_amor
328,2024-04-30 11:45:00,53,3,4,1,4,artesanias_del_mundo
329,2024-04-30 11:45:00,36,6,42,5,42,rincones_del_arte
330,2024-04-30 10:23:00,47,14,29,4,29,creatividad_en_expansion
331,2024-04-30 10:11:00,92,26,5,1,5,encanto_artesanal
332,2024-04-30 11:57:00,143,34,7,1,7,maravillas_artesanales
333,2024-04-30 10:04:00,147,42,3,1,3,mundo_del_vidrio
334,2024-04-30 9:52:00,121,41,8,1,8,arte_y_pasion
335,2024-04-30 11:47:00,81,31,45,5,45,tesoros_del_arte
336,2024-04-30 10:58:00,224,48,17,2,17,manos_creativas
337,2024-04-30 11:06:00,61,4,27,3,27,creaciones_del_corazon
338,2024-04-30 10:49:00,88,17,10,2,10,maravillas_del_arte
339,2024-04-30 9:19:00,45,20,29,4,29,creatividad_en_expansion
340,2024-04-30 11:08:00,95,9,9,1,9,maravillas_textiles
341,2024-04-30 11:07:00,89,16,22,3,22,hilos_y_tejidos
342,2024-04-30 10:38:00,101,14,28,3,28,maravillas_del_arte
343,2024-04-30 10:41:00,35,9,32,4,32,mundo_del_vidrio
344,2024-04-30 10:55:00,20,11,20,3,20,mundo_creativo
345,2024-04-30 10:03:00,73,34,26,3,26,mundo_de_la_creatividad
346,2024-04-30 9:02:00,72,20,25,3,25,creaciones_fantasticas
347,2024-04-30 10:55:00,108,20,35,4,35,taller_de_artesanias
348,2024-04-30 10:19:00,13,2,5,1,5,encanto_artesanal
349,2024-04-30 11:37:00,88,27,10,2,10,maravillas_del_arte
350,2024-04-30 10:38:00,61,14,6,1,6,mundo_artesano
351,2024-04-30 10:33:00,138,29,3,1,3,mundo_del_vidrio
352,2024-04-30 10:53:00,60,16,11,2,11,joyas_del_mundo
353,2024-04-30 10:14:00,100,37,14,2,14,encanto_hecho_a_mano
354,2024-04-30 11:19:00,61,10,9,1,9,maravillas_textiles
355,2024-04-30 10:45:00,42,18,9,1,9,maravillas_textiles
356,2024-04-30 9:27:00,73,31,13,2,13,tesoros_hechos_a_mano
357,2024-04-30 10:37:00,93,12,28,3,28,maravillas_del_arte
358,2024-04-30 11:24:00,56,16,19,3,19,encanto_y_belleza
359,2024-04-30 9:42:00,47,9,18,2,18,inspiracion_creativa
360,2024-04-30 11:07:00,115,27,33,4,33,madera_y_arte
361,2024-04-30 10:02:00,65,20,34,4,34,mundo_de_las_maravillas
362,2024-04-30 11:29:00,148,39,24,3,24,suenos_artesanales
363,2024-04-30 11:55:00,28,15,21,3,21,tesoros_textiles
364,2024-04-30 11:01:00,100,17,21,3,21,tesoros_textiles
365,2024-04-30 11:32:00,30,4,42,5,42,rincones_del_arte
366,2024-04-30 9:47:00,132,32,30,4,30,creaciones_del_mundo
367,2024-04-30 10:15:00,169,40,36,4,36,artesanias_con_historia
368,2024-04-30 10:53:00,60,10,23,3,23,fantasia_en_papel
369,2024-04-30 10:04:00,97,17,24,3,24,suenos_artesanales
370,2024-04-30 11:31:00,248,56,45,5,45,tesoros_del_arte
371,2024-04-30 10:45:00,95,12,6,1,6,mundo_artesano
372,2024-04-30 11:51:00,140,37,9,1,9,maravillas_textiles
373,2024-04-30 9:03:00,72,4,13,2,13,tesoros_hechos_a_mano
374,2024-04-30 11:11:00,110,5,24,3,24,suenos_artesanales
375,2024-04-30 9:00:00,37,12,11,2,11,joyas_del_mundo
376,2024-04-30 11:26:00,63,16,15,2,15,belleza_hecha_a_mano
377,2024-04-30 10:03:00,12,3,40,5,40,creaciones_del_mundo
378,2024-04-30 9:05:00,55,14,9,1,9,maravillas_textiles
379,2024-04-30 9:49:00,31,16,3,1,3,mundo_del_vidrio
380,2024-04-30 10:10:00,92,25,29,4,29,creatividad_en_expansion
381,2024-04-30 9:04:00,122,23,41,5,41,creatividad_en_accion
382,2024-04-30 10:08:00,24,10,12,2,12,hecho_a_mano
383,2024-04-30 9:06:00,81,23,26,3,26,mundo_de_la_creatividad
384,2024-04-30 10:02:00,27,8,35,4,35,taller_de_artesanias
385,2024-04-30 9:37:00,143,26,7,1,7,maravillas_artesanales
386,2024-04-30 9:34:00,109,13,30,4,30,creaciones_del_mundo
387,2024-04-30 11:20:00,120,38,31,4,31,arte_en_ceramica
388,2024-04-30 9:21:00,45,3,14,2,14,encanto_hecho_a_mano
389,2024-04-30 10:49:00,40,14,36,4,36,artesanias_con_historia
390,2024-04-30 10:33:00,99,30,10,2,10,maravillas_del_arte
391,2024-04-30 9:49:00,118,33,28,3,28,maravillas_del_arte
392,2024-04-30 9:36:00,73,20,35,4,35,taller_de_artesanias
393,2024-04-30 11:19:00,88,25,21,3,21,tesoros_textiles
394,2024-04-30 9:48:00,36,6,27,3,27,creaciones_del_corazon
395,2024-04-30 10:33:00,90,48,20,3,20,mundo_creativo
396,2024-04-30 9:42:00,134,39,31,4,31,arte_en_ceramica
397,2024-04-30 11:59:00,109,31,6,1,6,mundo_artesano
398,2024-04-30 9:28:00,114,22,45,5,45,tesoros_del_arte
399,2024-04-30 9:44:00,165,51,45,5,45,tesoros_del_arte
400,2024-04-30 10:09:00,23,9,5,1,5,encanto_artesanal
401,2024-04-30 10:26:00,103,31,32,4,32,mundo_del_vidrio
402,2024-04-30 9:29:00,118,27,45,5,45,tesoros_del_arte
403,2024-04-30 10:04:00,105,13,39,5,39,rincon_de_la_inspiracion
404,2024-04-30 10:23:00,132,40,43,5,43,creaciones_con_alma
405,2024-04-30 10:39:00,35,5,9,1,9,maravillas_textiles
406,2024-04-30 11:12:00,91,8,25,3,25,creaciones_fantasticas
407,2024-04-30 11:02:00,131,21,41,5,41,creatividad_en_accion
408,2024-04-30 9:52:00,74,14,42,5,42,rincones_del_arte
409,2024-04-30 11:36:00,132,39,41,5,41,creatividad_en_accion
410,2024-04-30 9:44:00,52,1,44,5,44,arte_y_tradicion
411,2024-04-30 10:10:00,111,39,35,4,35,taller_de_artesanias
412,2024-04-30 11:14:00,74,15,31,4,31,arte_en_ceramica
413,2024-04-30 10:23:00,94,22,5,1,5,encanto_artesanal
414,2024-04-30 11:07:00,87,26,13,2,13,tesoros_hechos_a_mano
415,2024-04-30 11:33:00,216,58,36,4,36,artesanias_con_historia
416,2024-04-30 9:22:00,167,33,9,1,9,maravillas_textiles
417,2024-04-30 10:48:00,23,13,29,4,29,creatividad_en_expansion
418,2024-04-30 9:02:00,226,48,6,1,6,mundo_artesano
419,2024-04-30 11:14:00,103,29,34,4,34,mundo_de_las_maravillas
420,2024-04-30 9:31:00,97,17,16,2,16,creaciones_con_amor
421,2024-04-30 9:39:00,111,33,12,2,12,hecho_a_mano
422,2024-04-30 11:07:00,121,23,16,2,16,creaciones_con_amor
423,2024-04-30 10:06:00,88,40,34,4,34,mundo_de_las_maravillas
424,2024-04-30 9:44:00,163,44,22,3,22,hilos_y_tejidos
425,2024-04-30 11:59:00,107,38,14,2,14,encanto_hecho_a_mano
426,2024-04-30 10:09:00,179,54,36,4,36,artesanias_con_historia
427,2024-04-30 10:09:00,104,23,27,3,27,creaciones_del_corazon
428,2024-04-30 10:17:00,265,47,44,5,44,arte_y_tradicion
429,2024-04-30 10:51:00,49,8,29,4,29,creatividad_en_expansion
430,2024-04-30 10:27:00,112,40,43,5,43,creaciones_con_alma
431,2024-04-30 11:58:00,28,5,30,4,30,creaciones_del_mundo
432,2024-04-30 10:07:00,92,26,8,1,8,arte_y_pasion
433,2024-04-30 11:32:00,16,11,1,1,1,artesanias_de_la_naturaleza
434,2024-04-30 11:06:00,71,20,44,5,44,arte_y_tradicion
435,2024-04-30 9:13:00,81,33,30,4,30,creaciones_del_mundo
436,2024-04-30 10:43:00,86,34,23,3,23,fantasia_en_papel
437,2024-04-30 11:19:00,88,18,12,2,12,hecho_a_mano
438,2024-04-30 11:20:00,34,4,11,2,11,joyas_del_mundo
439,2024-04-30 9:46:00,108,24,40,5,40,creaciones_del_mundo
440,2024-04-30 11:09:00,43,10,40,5,40,creaciones_del_mundo
441,2024-04-30 10:14:00,113,24,14,2,14,encanto_hecho_a_mano
442,2024-04-30 9:07:00,73,19,27,3,27,creaciones_del_corazon
443,2024-04-30 10:02:00,205,51,12,2,12,hecho_a_mano
444,2024-04-30 11:27:00,12,7,2,1,2,tesoros_del_pasado
445,2024-04-30 9:28:00,34,15,39,5,39,rincon_de_la_inspiracion
446,2024-04-30 10:00:00,193,23,9,1,9,maravillas_textiles
447,2024-04-30 9:05:00,118,33,30,4,30,creaciones_del_mundo
448,2024-04-30 10:25:00,66,19,3,1,3,mundo_del_vidrio
449,2024-04-30 11:19:00,153,30,43,5,43,creaciones_con_alma
450,2024-04-30 10:42:00,139,37,36,4,36,artesanias_con_historia
451,2024-04-30 11:23:00,76,26,14,2,14,encanto_hecho_a_mano
452,2024-04-30 9:36:00,40,10,44,5,44,arte_y_tradicion
453,2024-04-30 10:19:00,15,2,25,3,25,creaciones_fantasticas
454,2024-04-30 11:22:00,16,6,29,4,29,creatividad_en_expansion
455,2024-04-30 10:16:00,149,34,18,2,18,inspiracion_creativa
456,2024-04-30 11:52:00,37,3,23,3,23,fantasia_en_papel
457,2024-04-30 11:59:00,181,41,4,1,4,artesanias_del_mundo
458,2024-04-30 9:32:00,137,34,44,5,44,arte_y_tradicion
459,2024-04-30 9:51:00,92,36,25,3,25,creaciones_fantasticas
460,2024-04-30 11:30:00,176,55,6,1,6,mundo_artesano
461,2024-04-30 11:17:00,56,18,31,4,31,arte_en_ceramica
462,2024-04-30 9:46:00,155,37,15,2,15,belleza_hecha_a_mano
463,2024-04-30 9:31:00,164,36,28,3,28,maravillas_del_arte
464,2024-04-30 11:29:00,31,7,10,2,10,maravillas_del_arte
465,2024-04-30 9:19:00,99,19,12,2,12,hecho_a_mano
466,2024-04-30 11:24:00,107,19,23,3,23,fantasia_en_papel
467,2024-04-30 9:36:00,14,1,1,1,1,artesanias_de_la_naturaleza
468,2024-04-30 9:20:00,79,19,45,5,45,tesoros_del_arte
469,2024-04-30 11:05:00,158,37,39,5,39,rincon_de_la_inspiracion
470,2024-04-30 9:38:00,76,11,28,3,28,maravillas_del_arte
471,2024-04-30 10:57:00,85,29,24,3,24,suenos_artesanales
472,2024-04-30 10:30:00,50,21,25,3,25,creaciones_fantasticas
473,2024-04-30 11:53:00,100,40,22,3,22,hilos_y_tejidos
474,2024-04-30 10:29:00,22,3,39,5,39,rincon_de_la_inspiracion
475,2024-04-30 9:07:00,39,14,27,3,27,creaciones_del_corazon
476,2024-04-30 9:13:00,41,1,3,1,3,mundo_del_vidrio
477,2024-04-30 9:43:00,121,31,4,1,4,artesanias_del_mundo
478,2024-04-30 9:11:00,66,16,15,2,15,belleza_hecha_a_mano
479,2024-04-30 11:19:00,114,38,22,3,22,hilos_y_tejidos
480,2024-04-30 11:22:00,151,35,38,4,38,arte_en_detalles
481,2024-04-30 11:31:00,35,2,19,3,19,encanto_y_belleza
482,2024-04-30 9:27:00,101,37,27,3,27,creaciones_del_corazon
483,2024-04-30 10:00:00,57,4,25,3,25,creaciones_fantasticas
484,2024-04-30 10:56:00,120,30,5,1,5,encanto_artesanal
485,2024-04-30 10:26:00,67,18,8,1,8,arte_y_pasion
486,2024-04-30 11:37:00,132,28,32,4,32,mundo_del_vidrio
487,2024-04-30 9:58:00,100,29,13,2,13,tesoros_hechos_a_mano
488,2024-04-30 9:53:00,8,3,32,4,32,mundo_del_vidrio
489,2024-04-30 9:31:00,136,47,11,2,11,joyas_del_mundo
